Album,Artist
LP: Outward Bound,"Eric Dolphy - Alto Sax, Bass Clarinet, Flute"
LP: Outward Bound,Freddie Hubbard - Trumpet
LP: Outward Bound,Jaki Byard - Piano
LP: Outward Bound,George Tucker - Bass
LP: Outward Bound,Roy Haynes - Drums
LP: Caribe,"Eric Dolphy - Alto Sax, Bass Clarinet, Flute"
LP: Caribe,Juan Amalbert - Congas
LP: Caribe,Gene Casey - Piano
LP: Caribe,Carlie Simons - Vibraphone
LP: Caribe,Bill Ellington - Bass
LP: Caribe,Manny Ramos - Drums
LP: Out There,"Eric Dolphy - Alto Sax, Bass Clarinet, Flute"
LP: Out There,"Ron Carter - Cello, Bass"
LP: Out There,George Duvivier - Bass
LP: Out There,Roy Haynes - Drums
LP: At the Five Spot Volume One,"Eric Dolphy - Alto Sax, Bass Clarinet, Flute"
LP: At the Five Spot Volume One,Booker Little - Trumpet
LP: At the Five Spot Volume One,Mal Waldron - Piano
LP: At the Five Spot Volume One,Richard Davis - Bass
LP: At the Five Spot Volume One,Ed Blackwell - Drums
LP: Far Cry,"Eric Dolphy - Alto Sax, Bass Clarinet, Flute"
LP: Far Cry,Booker Little - Trumpet
LP: Far Cry,Jaki Byard - Piano
LP: Far Cry,"Ron Carter - Cello, Bass"
LP: Far Cry,Roy Haynes - Drums
LP: Conversations,"Eric Dolphy - Alto Sax, Bass Clarinet, Flute"
LP: Conversations,Richard Davis - Bass
LP: Conversations,Eddie Khan - Bass
LP: Conversations,Clifford Jordan - Soprano Sax
LP: Conversations,Sonny Simmons - Alto Sax
LP: Conversations,Prince Lasha - Flute
LP: Conversations,Woody Shaw - Trumpet
LP: Conversations,Bobby Hutcherson - Vibraphone
LP: Conversations,JC Moses - Drums
LP: Conversations,Charles Moffett - Drums
LP: At The Five Spot Volume Two,"Eric Dolphy - Alto Sax, Bass Clarinet, Flute"
LP: At The Five Spot Volume Two,Booker Little - Trumpet
LP: At The Five Spot Volume Two,Mal Waldron - Piano
LP: At The Five Spot Volume Two,Richard Davis - Bass
LP: At The Five Spot Volume Two,Ed Blackwell - Drums
LP: Hot and Cool Latin,"Eric Dolphy - Alto Sax, Bass Clarinet, Flute"
LP: Hot and Cool Latin,Nathan Gershman - Cello
LP: Hot and Cool Latin,Dennis Budimir - Guitar
LP: Hot and Cool Latin,Wyatt Ruther - Bass
LP: Hot and Cool Latin,Ralph Pena - Bass
LP: Hot and Cool Latin,Bobbie Rodriguez - Bass
LP: Hot and Cool Latin,Chico Hamilton - Drums
LP: Hot and Cool Latin,Tommy Lopez - Congas
LP: Hot and Cool Latin,Louis Ramirez - Timbales
LP: Hot and Cool Latin,Felipe Diaz - Vibraphone
LP: Hot and Cool Latin,Arthur Jenkins - Piano
LP: Candid Dolphy,"Eric Dolphy - Alto Sax, Bass Clarinet, Flute"
LP: Candid Dolphy,Charles McPherson - Alto Sax
LP: Candid Dolphy,Charles Mingus - Bass
LP: Candid Dolphy,Danny Richmond - Drums
LP: Candid Dolphy,Nico Bunick - Piano
LP: Candid Dolphy,Lonnie Hillyer - Trumpet
LP: Candid Dolphy,Ted Curson - Trumpet
LP: Status,"Eric Dolphy - Alto Sax, Bass Clarinet, Flute"
LP: Status,Erik Moseholm - Bass
LP: Status,Ed Blackwell - Drums
LP: Status,Bent Axen - Piano
LP: Status,Booker Little - Trumpet
LP: Dash One,"Eric Dolphy - Alto Sax, Bass Clarinet, Flute"
LP: Dash One,George Tucker - Bass
LP: Dash One,Ed Blackwell - Drums
LP: Dash One,Roy Haynes - Drums
LP: Dash One,Jaki Byard - Piano
LP: Dash One,Freddie Hubbard - Trumpet
